time,logN,pH,strain
4,6.113943352,3.2,4
4,5.959041392,3.2,4
4,6.093421685,3.2,4
8,5.770852012,3.2,4
8,5.875061263,3.2,4
8,5.707570176,3.2,4
12,5.42975228,3.2,4
12,5.431363764,3.2,4
12,5.079181246,3.2,4
16,4.350248018,3.2,4
16,4.28780173,3.2,4
16,4.283301229,3.2,4
20,2.633468456,3.2,4
20,2.86923172,3.2,4
20,3.164352856,3.2,4
24,2.51851394,3.2,4
24,1.698970004,3.2,4
24,2,3.2,4
0,6.1430148,3.4,4
0,6.139879086,3.4,4
0,6.170261715,3.4,4
15,6.012837225,3.4,4
15,5.544068044,3.4,4
15,6,3.4,4
30,5.707570176,3.4,4
30,5.491361694,3.4,4
30,5.662757832,3.4,4
45,4.568201724,3.4,4
45,4.826074803,3.4,4
45,4.72427587,3.4,4
60,2.301029996,3.4,4
60,2,3.4,4
60,3.041392685,3.4,4
0,6.11058971,3.6,4
0,6.176091259,3.6,4
20,6.029383778,3.6,4
20,6.146128036,3.6,4
40,6.155336037,3.6,4
40,6.11058971,3.6,4
60,6.089905111,3.6,4
60,6.164352856,3.6,4
80,5.411619706,3.6,4
80,5.269512944,3.6,4
100,4.401400541,3.6,4
100,4.477121255,3.6,4
120,3.419955748,3.6,4
120,3.394451681,3.6,4
140,2.146128036,3.6,4
140,2.204119983,3.6,4
0,6.11058971,3.8,4
0,6.176091259,3.8,4
30,6.176091259,3.8,4
30,6.08278537,3.8,4
60,6.217483944,3.8,4
60,6.130333768,3.8,4
90,6.086359831,3.8,4
90,6.045322979,3.8,4
120,6,3.8,4
120,6.012837225,3.8,4
150,6.021189299,3.8,4
150,5.897627091,3.8,4
180,5.857332496,3.8,4
180,5.707570176,3.8,4
210,5.643452676,3.8,4
210,5.602059991,3.8,4
240,5.408239965,3.8,4
240,5.079181246,3.8,4
0,6.292256071,3,5
0,6.267171728,3,5
0,6.167317335,3,5
1.5,6.100370545,3,5
1.5,6.294466226,3,5
1.5,6.184691431,3,5
