"","mean","sd","2.5%","50%","97.5%","Rhat","n.eff"
"lndp[2,4,2]",0.711774625223685,0.0869874602775789,0.538624712115657,0.713386041209911,0.878840265368295,1,4230
"lndp[2,5,1]",2.71682237933743,0.0529181019361232,2.6070890936847,2.71933358139169,2.81507759811399,1,6135
"lndp[2,5,2]",0.859440546128158,0.120766807691308,0.620925325108626,0.860438120747672,1.09137953093042,1,2875
"lndp[2,6,1]",2.58990005415042,0.0560997932118428,2.47617584223019,2.59117204514588,2.69688480446657,1,2654
"lndp[2,6,2]",0.821003260053576,0.103460622761038,0.623689970485396,0.817409751453872,1.03195972931908,1,5611
"lndp[2,7,1]",2.12351269451307,0.0707829328346512,1.97414485319632,2.12837459818924,2.25507958090999,1,4346
"lndp[2,7,2]",0.533374126089306,0.0872085421622426,0.354572028615084,0.534651026896974,0.702331820789762,1,4663
"lndp[2,8,1]",1.95563002445228,0.0787758585095644,1.78774870795874,1.95956604515637,2.09734212500039,1,3787
"lndp[2,8,2]",0.60522190152341,0.145178542787585,0.32049827253071,0.60822089831233,0.887095124591242,1,2855
"lndp[2,9,1]",2.07117105756228,0.0820871765021578,1.89579845579195,2.07473390710784,2.22125064884606,1,3849
"lndp[2,9,2]",0.457766894849599,0.0955299566959757,0.263273003165438,0.457039472131225,0.642821458640471,1,3574
"lndp[2,10,1]",2.31899504570339,0.0617601290504746,2.19368797700906,2.32007297194031,2.43187841049865,1,2486
"lndp[2,10,2]",0.930274760871668,0.147370543694469,0.656205742803998,0.923886062883386,1.22510944840119,1,2062
"lndp[2,11,1]",1.98563437616308,0.0757095377652252,1.82805376842866,1.98959893752357,2.12437296591173,1.01,1057
"lndp[2,11,2]",0.524546070307665,0.0998867911620269,0.323335451987247,0.525703484847243,0.714733351151603,1,2733
"lndp[3,1,1]",3.65280558321909,0.0968590269028629,3.44731636120273,3.65782872358973,3.8281296779915,1,3747
"lndp[3,1,2]",0.499340534008619,0.162488146398789,0.17322289589132,0.503158566366107,0.817663098291883,1,3669
"lndp[3,2,1]",3.74180657732321,0.0854215402680904,3.56615623942966,3.74646489281276,3.89575790316032,1,3628
"lndp[3,2,2]",0.229920524442125,0.0899102693426251,0.0521243653843195,0.233103656941916,0.401911539294082,1,4562
"lndp[3,3,1]",3.8356558894871,0.0561028156621971,3.71788522472808,3.83671207129991,3.94335821268246,1,3308
"lndp[3,3,2]",0.94371503976443,0.123737276167779,0.701875606745187,0.943104310125209,1.19651492469916,1,2577
"lndp[3,4,1]",3.63362787166522,0.0639658634973925,3.49774588847139,3.63545065773048,3.75092567729678,1,4106
"lndp[3,4,2]",1.02528856535105,0.147572895727354,0.733602467876682,1.02331563701305,1.32060774193226,1,4609
"lndp[3,5,1]",3.78227481995014,0.0621774014378275,3.66060681193304,3.78507830840007,3.89822275864784,1,791
"lndp[3,5,2]",0.747220910088949,0.0953345430703838,0.566706752284626,0.747294042394651,0.938857544008507,1,1006
"lndp[3,6,1]",3.81960153917677,0.0608977236534777,3.68529484854424,3.82388940065642,3.92857416454056,1,2264
"lndp[3,6,2]",0.948057967985971,0.133206176201792,0.669254706386291,0.951086570756768,1.2068058311672,1,2368
"lndp[3,7,1]",3.26036190302544,0.0834327176311366,3.08626142807537,3.263657021242,3.41059933459277,1,1675
"lndp[3,7,2]",0.385845669854114,0.085367987580949,0.214255855991498,0.385900573106881,0.546580060076413,1,2257
"lndp[3,8,1]",3.44995174943988,0.155746511472736,3.10251572279162,3.46370096495539,3.70892612244194,1,2066
"lndp[3,8,2]",-0.094081929866324,0.203550819336887,-0.526356683170627,-0.0812698114849657,0.270595611407222,1,3965
